address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct
Москва;район Тверской;2-й Щемиловский пер.;д.5а,район Тверской,2-й Щемиловский пер.,д.5а,"55.778801,37.608742",204.5,69322440,338985,55.778801,37.608742,1
Москва;район Хорошевский;Чапаевский пер.;д.3,район Хорошевский,Чапаевский пер.,д.3,"55.798480,37.520671",154.0,84500000,548701,55.798480000000005,37.520671,1
Москва;район Тверской;2-й Щемиловский пер.;д.5а,район Тверской,2-й Щемиловский пер.,д.5а,"55.778801,37.608742",168.9,90475237,535673,55.778801,37.608742,1
Москва;район Замоскворечье;ул. Малая Ордынка;д.19,район Замоскворечье,ул. Малая Ордынка,д.19,"55.736909,37.625990",130.2,104192000,800245,55.736909,37.62599,1
Москва;район Хамовники;ул. Ефремова;д.10к1,район Хамовники,ул. Ефремова,д.10к1,"55.725331,37.573717",155.0,125000000,806451,55.725331000000004,37.573716999999995,1
Москва;район Тверской;ул. Фадеева;д.4А,район Тверской,ул. Фадеева,д.4А,"55.774867,37.601609",169.0,159000000,940828,55.77486700000001,37.601609,1
Москва;район Тверской;ул. Фадеева;д.4А,район Тверской,ул. Фадеева,д.4А,"55.774867,37.601609",169.0,159000000,940828,55.77486700000001,37.601609,1
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",206.0,170000000,825242,55.749603,37.597871999999995,1
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",183.0,182759160,998683,55.749603,37.597871999999995,1
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",207.0,189061200,913339,55.749603,37.597871999999995,1
Москва;район Пресненский;Леонтьевский пер.;д.8С1,район Пресненский,Леонтьевский пер.,д.8С1,"55.759091,37.603235",220.0,201665280,916660,55.759091000000005,37.603235,1
Москва;район Арбат;Большой Афанасьевский пер.;д.28,район Арбат,Большой Афанасьевский пер.,д.28,"55.749603,37.597872",208.0,299346900,1439167,55.749603,37.597871999999995,1
Москва;район Хорошевский;ул. Авиаконструктора Сухого;д.2к2,район Хорошевский,ул. Авиаконструктора Сухого,д.2к2,"55.786217,37.542231",136.0,39000000,286764,55.78621700000001,37.542231,1
Москва;район Богородское;1-я Мясниковская ул.;д.2,район Богородское,1-я Мясниковская ул.,д.2,"55.816480,37.702158",127.6,26133000,204804,55.816480000000006,37.702158000000004,1
Москва;район Богородское;1-я Мясниковская ул.;д.2,район Богородское,1-я Мясниковская ул.,д.2,"55.816480,37.702158",133.0,28376000,213353,55.816480000000006,37.702158000000004,1
Москва;район Щукино;Авиационная ул.;д.77к2,район Щукино,Авиационная ул.,д.77к2,"55.809348,37.450863",129.8,29041000,223736,55.809348,37.450863,1
Москва;район Хорошево-Мневники;Шелепихинская наб.;д.34к2,район Хорошево-Мневники,Шелепихинская наб.,д.34к2,"55.762789,37.508984",121.2,35420000,292244,55.762789,37.508984000000005,1
Москва;район Тимирязевский;Дмитровское ш.;д.13А,район Тимирязевский,Дмитровское ш.,д.13А,"55.818397,37.573537",127.1,37912000,298284,55.818397,37.573537,1
Москва;район Хорошево-Мневники;Шелепихинская наб.;д.34к2,район Хорошево-Мневники,Шелепихинская наб.,д.34к2,"55.762789,37.508984",138.5,40472000,292216,55.762789,37.508984000000005,1
Москва;район Преображенское;Преображенская ул.;д.2К1,район Преображенское,Преображенская ул.,д.2К1,"55.794922,37.706739",227.0,58000000,255506,55.794922,37.706739,1
Москва;район Замоскворечье;Мытная ул.;д.7с1,район Замоскворечье,Мытная ул.,д.7с1,"55.722142,37.618569",135.7,67265000,495689,55.722142000000005,37.618569,1
Москва;район Замоскворечье;Мытная ул.;д.7с1,район Замоскворечье,Мытная ул.,д.7с1,"55.722142,37.618569",147.0,68547000,466306,55.722142000000005,37.618569,1
Москва;район Басманный;Казарменный пер.;д.3,район Басманный,Казарменный пер.,д.3,"55.757212,37.649552",200.0,95000000,475000,55.757212,37.649552,1
Москва;район Таганский;Нижегородская ул.;д.32С3,район Таганский,Нижегородская ул.,д.32С3,"55.736995,37.690489",17.7,4080044,230902,55.73699499999999,37.690489,1
Москва;Десеновское поселение;пос. Ватутинки;район Десёновское;ул. 4-я Ватутинская;д.вл6,район Десёновское,ул. 4-я Ватутинская,д.вл6,"55.510119,37.346191",32.5,4125666,127100,55.510118999999996,37.346191,1
Москва;Сосенское поселение;д. Столбово;район Сосенское;Южное Бунино ЖК,д. Столбово,Россия, 142791,"55.542391,37.455385",34.6,4150000,119942,55.542391,37.455385,1
Москва;Десеновское поселение;район Десёновское;Кленовые Аллеи ЖК;д.к10,район Десёновское,Кленовые Аллеи ЖК,д.к10,"55.510277,37.348455",36.2,4230000,116818,55.510277,37.348455,1
Москва;Десеновское поселение;пос. Ватутинки;район Десёновское;ул. 4-я Ватутинская;д.вл6,район Десёновское,ул. 4-я Ватутинская,д.вл6,"55.510119,37.346191",35.3,4285853,121550,55.510118999999996,37.346191,1
Москва;район Таганский;Нижегородская ул.;д.32С3,район Таганский,Нижегородская ул.,д.32С3,"55.736995,37.690489",18.7,4333606,231991,55.73699499999999,37.690489,1
Москва;район Орехово-Борисово Южное;Ясеневая ул.;д.вл14,район Орехово-Борисово Южное,Ясеневая ул.,д.вл14,"55.599235,37.727373",20.0,4300000,215000,55.599235,37.727373,1
Москва;Сосенское поселение;д. Столбово;район Сосенское;Южное Бунино ЖК;д.к8,район Сосенское,Южное Бунино ЖК,д.к8,"55.540685,37.457174",35.8,4310000,120391,55.540684999999996,37.457174,1
Москва;Зеленоград;район Крюково;просп. Георгиевский;д.37к1,район Крюково,просп. Георгиевский,д.37к1,"55.968000,37.150583",32.2,4300000,133540,55.968,37.150583000000005,1
Москва;Сосенское поселение;д. Столбово;район Сосенское;Южное Бунино ЖК,д. Столбово,Сосенское, Поселение,"55.541321,37.456187",34.7,4375000,126008,55.541320999999996,37.456187,0
Москва;район Ярославский;Лосиноостровская ул.;д.45С20,район Ярославский,Лосиноостровская ул.,д.45С20,"55.849389,37.717015",38.0,4484000,118000,55.849389,37.717015,1
Москва;Десеновское поселение;пос. Ватутинки;район Десёновское;ул. 4-я Ватутинская;д.вл6,район Десёновское,ул. 4-я Ватутинская,д.вл6,"55.510119,37.346191",33.9,4470840,132000,55.510118999999996,37.346191,1
Москва;Первомайское поселение;д. Ивановское;район Первомайское;ул. Семена Гордого;д.12,район Первомайское,ул. Семена Гордого,д.12,"55.542263,37.151419",46.0,4480000,97391,55.542263,37.151419,1
Москва;Десеновское поселение;район Десёновское;Андерсен ЖК;аллея Буковая,район Десёновское,Буковая ал., 14,"55.518691,37.391942",44.8,4500000,100446,55.518691000000004,37.391942,1
